input,output
1938-01-27,01/27/1938
05/13/1939,13/05/1939
06/07/2066,2066-07-06
19/06/1959,1959-06-19
1983-02-10,02/10/1983
25/04/2060,04/25/2060
2095-12-03,03/12/2095
1982-06-09,06/09/1982
05/02/1940,02/05/1940
09/30/2070,2070-09-30
10/03/2051,2051-03-10
09/10/2028,2028-10-09
03/03/1997,03/03/1997
06/22/1944,1944-06-22
09/27/1963,27/09/1963
06/28/1914,1914-06-28
26/11/1975,11/26/1975
2042-10-30,10/30/2042
11/08/1949,1949-11-08
28/09/2058,09/28/2058
08/06/2015,06/08/2015
04/05/1911,05/04/1911
27/11/2085,2085-11-27
10/05/1961,05/10/1961
17/07/2035,07/17/2035
26/11/1980,1980-11-26
14/04/1979,1979-04-14
1900-10-16,16/10/1900
28/02/2007,02/28/2007
11/11/1900,11/11/1900
13/02/2044,2044-02-13
2076-08-24,08/24/2076
1969-09-09,09/09/1969
23/12/2013,12/23/2013
28/01/1993,01/28/1993
11/21/2012,2012-11-21
1967-01-09,09/01/1967
09/09/2035,09/09/2035
06/22/2036,22/06/2036
11/08/2058,08/11/2058
14/11/2089,2089-11-14
07/23/2034,2034-07-23
29/04/2018,04/29/2018
02/19/2064,2064-02-19
05/20/1928,20/05/1928
10/22/2010,22/10/2010
1906-05-09,05/09/1906
14/06/1937,1937-06-14
01/26/1924,26/01/1924
23/05/2089,2089-05-23
1934-01-22,22/01/1934
08/12/1965,1965-12-08
06/06/2082,2082-06-06
1980-02-09,09/02/1980
1929-01-11,01/11/1929
24/08/2098,08/24/2098
15/07/2053,07/15/2053
2034-08-01,01/08/2034
2032-01-11,11/01/2032
1965-09-01,01/09/1965
1942-07-06,07/06/1942
1906-05-10,05/10/1906
16/06/2099,2099-06-16
2034-12-04,12/04/2034
13/10/1935,1935-10-13
10/24/1980,1980-10-24
04/12/2086,12/04/2086
01/06/2064,2064-06-01
1972-10-04,10/04/1972
1908-08-18,18/08/1908
11/06/1959,06/11/1959
1971-06-28,06/28/1971
04/15/2027,15/04/2027
19/12/1912,1912-12-19
1952-12-11,12/11/1952
29/12/2083,2083-12-29
10/03/2010,03/10/2010
08/12/2086,2086-12-08
2041-11-24,24/11/2041
08/12/2051,2051-08-12
07/15/1963,1963-07-15
2076-07-15,07/15/2076
09/06/2032,2032-09-06
1907-02-01,02/01/1907
09/30/1979,30/09/1979
1940-01-05,01/05/1940
2060-04-07,04/07/2060
1989-07-22,07/22/1989
24/11/2028,2028-11-24
10/12/2030,2030-12-10
07/22/2059,2059-07-22
06/14/2044,2044-06-14
07/10/2026,2026-10-07
2060-12-20,12/20/2060
01/16/2034,2034-01-16
01/10/2055,10/01/2055
1911-01-04,01/04/1911
1925-03-10,10/03/1925
01/11/2011,11/01/2011
10/13/1948,13/10/1948
20/09/1926,1926-09-20
1997-08-25,08/25/1997
2027-01-17,01/17/2027
1991-01-20,20/01/1991
1979-04-18,18/04/1979
1957-10-20,20/10/1957
07/08/2099,08/07/2099
1983-04-11,11/04/1983
10/22/2093,2093-10-22
31/08/1980,08/31/1980
01/01/1924,1924-01-01
03/10/2078,2078-10-03
2035-06-25,06/25/2035
01/04/1929,1929-01-04
2053-04-06,06/04/2053
25/08/1961,1961-08-25
16/02/1913,02/16/1913
1967-04-30,30/04/1967
11/07/1905,07/11/1905
06/05/1985,1985-05-06
2012-06-10,10/06/2012
2048-09-30,30/09/2048
08/01/2043,01/08/2043
04/25/1913,25/04/1913
01/21/2049,21/01/2049
2085-12-18,12/18/2085
12/02/2028,02/12/2028
1905-04-04,04/04/1905
14/07/1957,07/14/1957
05/22/2068,22/05/2068
15/10/1913,1913-10-15
2006-09-19,09/19/2006
1908-11-21,11/21/1908
24/04/2009,2009-04-24
1987-08-10,10/08/1987
27/06/2033,2033-06-27
25/01/1984,01/25/1984
2095-11-18,18/11/2095
01/08/2014,08/01/2014
2076-05-03,03/05/2076
07/28/2093,28/07/2093
04/19/1981,1981-04-19
10/18/2091,2091-10-18
23/05/2000,05/23/2000
01/09/2027,09/01/2027
06/30/1934,1934-06-30
27/04/2054,2054-04-27
1974-10-26,10/26/1974
2073-11-12,11/12/2073
24/02/1984,02/24/1984
01/01/1921,1921-01-01
10/02/1905,1905-02-10
11/05/1917,05/11/1917
11/12/2052,2052-12-11
09/29/1965,1965-09-29
13/09/2079,09/13/2079
06/06/2097,06/06/2097
08/28/2054,28/08/2054
07/07/2061,07/07/2061
08/10/1960,1960-10-08
17/02/2098,02/17/2098
07/12/1928,1928-07-12
13/02/1913,02/13/1913
02/08/2040,08/02/2040
01/13/1922,1922-01-13
27/02/2089,2089-02-27
11/26/2082,2082-11-26
2053-12-18,18/12/2053
12/01/1980,01/12/1980
2051-12-11,12/11/2051
10/04/1939,1939-10-04
06/18/1938,1938-06-18
30/12/2053,2053-12-30
19/08/1998,08/19/1998
29/09/1903,09/29/1903
1952-06-11,11/06/1952
03/02/1929,02/03/1929
1985-08-11,08/11/1985
09/09/2074,09/09/2074
06/01/1955,1955-06-01
05/04/1932,1932-05-04
06/11/2063,11/06/2063
05/04/2090,2090-04-05
26/07/2080,2080-07-26
2052-09-10,10/09/2052
1945-12-15,12/15/1945
02/08/1994,08/02/1994
09/10/1974,10/09/1974
02/26/1993,1993-02-26
02/06/2076,06/02/2076
04/24/1926,1926-04-24
03/28/2079,28/03/2079
10/22/2031,22/10/2031
05/18/2067,2067-05-18
11/07/1944,07/11/1944
04/15/1960,1960-04-15
08/02/2077,2077-08-02
