input,output
09/22/2044,"September 22, 2044"
1984.01.01,1984-01-01
11.29.2034,"November 29, 2034"
18/02/1944,1944.02.18
23-07-1939,1939/07/23
05-05-1927,05/05/1927
26.09.2023,2023/09/26
"December 22, 1975",22.12.1975
10/02/1998,02.10.1998
07/30/1934,"July 30, 1934"
12/21/1998,21/12/1998
22/07/2090,07.22.2090
2003/12/03,03/12/2003
13-07-1918,1918/07/13
07.20.1904,1904-07-20
07/04/1953,1953/04/07
06.07.2071,07.06.2071
2090.04.01,04.01.2090
2041/06/29,2041-06-29
30.07.1992,07.30.1992
1901-05-18,18-05-1901
08.19.2070,2070-08-19
1966-09-15,1966.09.15
1978/12/01,1978.12.01
19-04-1939,"April 19, 1939"
02.04.1908,1908-02-04
11/15/2049,15.11.2049
10.08.1913,1913/08/10
12/26/2007,2007.12.26
1940-06-04,"June 04, 1940"
1959/11/15,15-11-1959
01/03/1943,"January 03, 1943"
1974-04-03,03/04/1974
04.23.1962,"April 23, 1962"
02.01.2022,"January 02, 2022"
13-12-1980,"December 13, 1980"
10/22/1974,10.22.1974
2062.04.30,30/04/2062
01/02/1976,1976-01-02
14/05/2074,05.14.2074
13-05-1989,13/05/1989
2063.04.06,04.06.2063
2036.06.07,07/06/2036
"November 13, 1997",13.11.1997
07.07.2021,"July 07, 2021"
24.03.2098,"March 24, 2098"
29-09-1975,1975/09/29
"August 04, 2008",2008.08.04
2025/02/11,"February 11, 2025"
10.12.2075,10-12-2075
1996-04-16,16.04.1996
09.09.1945,09-09-1945
1923.11.09,"November 09, 1923"
1931/04/27,1931.04.27
12/05/2064,2064-12-05
1989/02/14,1989.02.14
12/05/2081,05-12-2081
25/02/2035,25-02-2035
06.05.1913,06/05/1913
03.15.1937,1937/03/15
01/04/1933,04/01/1933
04.27.1902,1902-04-27
1922/06/18,"June 18, 1922"
1952/08/16,1952-08-16
2070.08.01,01-08-2070
"March 19, 1917",19.03.1917
2072-02-19,19/02/2072
05.16.1931,1931-05-16
16-04-1938,04/16/1938
03.02.1962,02.03.1962
07.23.1927,1927.07.23
2088.10.23,23/10/2088
10/14/1970,14/10/1970
1901/10/12,12-10-1901
1966-08-23,1966/08/23
02-06-2045,2045.06.02
1945.02.01,02.01.1945
09.05.1951,05/09/1951
1995.02.12,12.02.1995
11.30.1995,1995-11-30
12.12.1914,12-12-1914
08.12.2009,2009-12-08
18.11.2094,2094-11-18
17.09.1921,1921-09-17
09/16/2046,16/09/2046
2090/06/07,"June 07, 2090"
