input,output
14/12/2020,12/14/2020
"June 23, 2068",23/06/2068
30/06/1928,1928-06-30
08/01/2022,"January 08, 2022"
23/09/2060,2060-09-23
1951-11-13,11/13/1951
10/12/2057,"December 10, 2057"
16/10/2070,"October 16, 2070"
1945-05-30,30/05/1945
"November 16, 1949",11/16/1949
09/18/1959,18/09/1959
13/04/1970,"April 13, 1970"
"November 06, 2036",2036-11-06
"August 27, 1979",08/27/1979
25/09/1934,1934-09-25
04/14/2078,"April 14, 2078"
"May 17, 2016",05/17/2016
"December 10, 2000",2000-12-10
"December 09, 1968",12/09/1968
03/25/1946,1946-03-25
"June 03, 1988",03/06/1988
06/19/2074,"June 19, 2074"
05/04/2084,04/05/2084
2075-02-23,23/02/2075
06/30/2089,2089-06-30
11/09/1928,1928-09-11
"March 16, 2024",2024-03-16
"January 02, 2011",2011-01-02
"February 16, 2001",2001-02-16
1970-12-03,"December 03, 1970"
11/07/1989,"November 07, 1989"
"July 25, 1994",1994-07-25
"November 18, 2043",2043-11-18
2027-08-05,08/05/2027
10/10/1983,1983-10-10
03/15/1904,1904-03-15
11/09/2011,2011-11-09
2066-03-08,03/08/2066
03/21/2076,21/03/2076
08/09/2001,2001-08-09
1931-01-23,"January 23, 1931"
1981-09-23,09/23/1981
"January 13, 2085",01/13/2085
"March 13, 2051",2051-03-13
1924-12-29,"December 29, 1924"
"September 13, 2019",13/09/2019
"July 10, 2011",07/10/2011
2041-05-06,"May 06, 2041"
"January 15, 2034",01/15/2034
08/05/1951,05/08/1951
11/15/1971,15/11/1971
05/11/1932,11/05/1932
01/31/2016,2016-01-31
07/06/2073,06/07/2073
03/17/2040,2040-03-17
1932-07-28,"July 28, 1932"
06/27/1910,27/06/1910
"July 11, 1987",1987-07-11
"June 01, 2072",06/01/2072
"February 28, 2001",02/28/2001
07/16/2000,16/07/2000
11/29/2094,2094-11-29
08/09/2093,2093-09-08
01/30/2005,2005-01-30
2095-07-14,"July 14, 2095"
"January 01, 1925",01/01/1925
12/03/2042,2042-03-12
03/04/2037,04/03/2037
09/07/1913,07/09/1913
13/01/1930,01/13/1930
23/08/1985,08/23/1985
03/28/2022,"March 28, 2022"
11/15/1962,1962-11-15
"March 10, 2059",2059-03-10
"April 04, 2000",04/04/2000
22/09/2030,2030-09-22
10/25/1901,1901-10-25
"July 14, 2018",2018-07-14
"January 24, 2013",01/24/2013
19/10/2031,2031-10-19
01/09/2019,09/01/2019
02/07/2058,2058-02-07
30/08/1900,08/30/1900
"June 09, 1913",06/09/1913
02/12/1933,"February 12, 1933"
15/02/2028,"February 15, 2028"
2014-03-28,03/28/2014
"June 14, 2090",2090-06-14
08/01/2020,01/08/2020
07/12/1926,12/07/1926
2070-09-13,13/09/2070
31/08/2060,08/31/2060
2060-01-10,10/01/2060
29/08/1979,1979-08-29
02/05/2080,"May 02, 2080"
31/03/2087,"March 31, 2087"
04/02/2080,"February 04, 2080"
02/12/2024,"December 02, 2024"
"October 29, 2050",2050-10-29
1932-12-26,12/26/1932
"June 28, 1991",28/06/1991
2059-12-21,21/12/2059
1942-09-11,09/11/1942
2055-03-18,03/18/2055
07/01/2053,"January 07, 2053"
09/10/1909,10/09/1909
02/19/1920,1920-02-19
"May 15, 1926",05/15/1926
"April 25, 2094",25/04/2094
2093-10-25,"October 25, 2093"
"September 21, 1960",21/09/1960
10/02/2020,02/10/2020
04/02/1958,02/04/1958
"March 13, 2075",13/03/2075
30/06/1961,06/30/1961
1963-11-08,11/08/1963
"October 31, 1901",31/10/1901
24/02/2080,"February 24, 2080"
10/07/2007,"October 07, 2007"
2001-07-08,07/08/2001
01/07/2073,"January 07, 2073"
